produto,texto,tipo,impacto,nivel_urgencia
cartoes,cartão bloqueado,estado,tempo_real,3
cartoes,limite incorreto,estado,administrativo,1
cartoes,cartão recusado,evento,tempo_real,3
cartoes,compra não reconhecida,evento,financeiro,2
cartoes,lançamento não autorizado,evento,financeiro,2
cartoes,bloqueio indevido do cartão,acao_errada,tempo_real,3
cartoes,cobrança indevida,acao_errada,financeiro,2
cartoes,pagamento duplicado no cartão,acao_errada,financeiro,2
cartoes,estorno não realizado,acao_errada,financeiro,2
emprestimos,empréstimo não liberado,estado,tempo_real,3
emprestimos,saldo devedor incorreto,estado,administrativo,1
emprestimos,erro no contrato do empréstimo,evento,administrativo,1
emprestimos,cobrança antes do vencimento,evento,financeiro,2
emprestimos,valor do empréstimo incorreto,acao_errada,financeiro,2
emprestimos,juros acima do contratado,acao_errada,financeiro,2
emprestimos,parcelas divergentes,acao_errada,financeiro,2
emprestimos,desconto indevido,acao_errada,financeiro,2
pagamentos,pagamento pendente,estado,tempo_real,3
pagamentos,pagamento realizado e não compensado,estado,tempo_real,3
pagamentos,pagamento não processado,evento,tempo_real,3
pagamentos,falha na confirmação do pagamento,evento,tempo_real,3
pagamentos,pagamento duplicado,acao_errada,financeiro,2
pagamentos,cobrança duplicada,acao_errada,financeiro,2
pagamentos,erro no estorno do pagamento,acao_errada,financeiro,2
pagamentos,pagamento para destinatário errado,acao_errada,financeiro,2
renegociacao,parcelamento não registrado,estado,administrativo,1
renegociacao,dívida renegociada ainda constando em aberto,estado,administrativo,1
renegociacao,renegociação não aplicada,evento,administrativo,1
renegociacao,renegociação cancelada sem aviso,evento,financeiro,2
renegociacao,pagamento da renegociação não reconhecido,evento,financeiro,2
renegociacao,proposta de renegociação incorreta,acao_errada,administrativo,1
renegociacao,valor renegociado divergente,acao_errada,financeiro,2
renegociacao,condições divergentes da proposta,acao_errada,administrativo,1
