tipo,chave,valor
saudacao,,Boa tarde
saudacao,,Boa noite
saudacao,,Bom dia
saudacao,,Olá
saudacao,,Oi
saudacao,,Olá
saudacao,,Oi
saudacao,,Pessoal
saudacao,,E aí
saudacao,,Opa
saudacao,,
saudacao,,
saudacao,,
saudacao,,
saudacao,,
saudacao,,
fechamento,, Aguardo retorno.
fechamento,, Obrigado.
fechamento,, Obrigada.
fechamento,, Agradeço a atenção.
fechamento,, Att.
fechamento,, Grato.
fechamento,, Grata.
fechamento,, Valeu.
fechamento,, Espero uma solução.
fechamento,, Desde já agradeço.
fechamento,, Podem me ajudar?
fechamento,, O que eu faço?
fechamento,,
fechamento,,
fechamento,,
fechamento,,
fechamento,,
fechamento,,
cross_area,pix,Meu cartão também tava com problema
cross_area,pix,O atendimento não me ajudou quando liguei
cross_area,cartao,O pix também não funciona
cross_area,cartao,Minha conta tá com problema também
cross_area,conta,Meu cartão também foi afetado
cross_area,conta,Nem pix consigo fazer
cross_area,emprestimo,Minha conta ficou bloqueada por causa disso
cross_area,emprestimo,O atendimento não soube explicar
cross_area,investimento,Minha conta também tá com problema
cross_area,investimento,O atendimento não resolve
cross_area,atendimento,É sobre problema com pix
cross_area,atendimento,O problema é com meu cartão
cross_area,atendimento,Preciso resolver questão da conta
nome,,João
nome,,Maria
nome,,Pedro
nome,,Ana
nome,,Carlos
nome,,Fernanda
nome,,Lucas
nome,,Juliana
nome,,Rafael
nome,,Patricia
nome,,Bruno
nome,,Camila
nome,,Diego
nome,,Larissa
nome,,Felipe
nome,,Mariana
nome,,André
nome,,Beatriz
nome,,Thiago
nome,,Amanda
nome,,Roberto
nome,,Sandra
nome,,Rodrigo
nome,,Isabela
nome,,Marcos
nome,,Letícia
nome,,Gustavo
nome,,Daniela
nome,,Eduardo
nome,,Vanessa
nome,,Ricardo
nome,,Priscila
loja,,Magazine Luiza
loja,,Americanas
loja,,Shopee
loja,,Mercado Livre
loja,,Amazon
loja,,Casas Bahia
loja,,Renner
loja,,Uber
loja,,iFood
loja,,Netflix
loja,,Spotify
loja,,uma loja online
loja,,um site que não conheço
loja,,uma loja no shopping
loja,,uma farmácia
loja,,um posto de gasolina
loja,,um restaurante
loja,,Shein
loja,,AliExpress
loja,,Kabum
loja,,Submarino
loja,,PicPay
loja,,Rappi
loja,,Apple
loja,,Google Play
loja,,Zara
loja,,C&A
loja,,Riachuelo
loja,,Centauro
loja,,Drogasil
loja,,Pão de Açúcar
loja,,Carrefour
loja,,Havan
loja,,Leroy Merlin
investimento,,CDB
investimento,,LCI
investimento,,LCA
investimento,,Tesouro Direto
investimento,,Tesouro Selic
investimento,,fundo de renda fixa
investimento,,fundo multimercado
investimento,,ações
investimento,,FII
investimento,,poupança
investimento,,Tesouro IPCA
investimento,,CDB de liquidez diária
investimento,,fundo imobiliário
investimento,,debêntures
investimento,,previdência privada
tempo,,hoje
