"area","urgencia_baixa","urgencia_media","urgencia_alta","slot_1","slot_2"
"pix","0.025","0.950","0.025","Fiz um pix de {valor} para {nome} {tempo}|Mandei um pix de {valor} {tempo}|Transferi {valor} via pix {tempo}|Fiz uma transferência pix de {valor}|{tempo} enviei {valor} por pix","e o dinheiro saiu da minha conta mas não chegou no destinatário|e até agora o dinheiro não caiu na conta da pessoa|mas a pessoa disse que não recebeu, e na minha conta já debitaram|e o status mostra concluído, mas quem deveria receber diz que não caiu nada|e o dinheiro sumiu, não chegou no destino e não voltou pra mim|e o valor foi debitado mas o destinatário não recebeu"
"pix","0.025","0.025","0.950","Fiz um pix de {valor} e mandei pra chave errada|Errei a chave do pix e transferi {valor} pra pessoa errada|Digitei o CPF errado no pix e {valor} foi pra um desconhecido|Colei a chave pix errada e mandei {valor}|Fiz pix de {valor} pro número errado","Preciso recuperar esse dinheiro|A pessoa não quer devolver|Era pra pagar meu aluguel e agora não tenho como|Tentei contato com a pessoa mas não responde|O valor era pra {nome} e foi pra outra pessoa|Preciso do estorno porque era pagamento importante"
"pix","0.000","0.050","0.950","Fizeram um pix de {valor} da minha conta sem autorização|Apareceram pix que eu não fiz totalizando {valor}|Minha conta foi invadida e fizeram pix de {valor}|Caí num golpe e fizeram pix de {valor} da minha conta|Roubaram meu celular e fizeram vários pix totalizando {valor}|Alguém acessou minha conta e transferiu {valor} via pix|Recebi ligação de golpista e fizeram pix de {valor}","Preciso bloquear tudo e recuperar o dinheiro|Não reconheço essas transferências|Preciso de estorno urgente|Já bloqueei a conta mas o dinheiro já saiu|Preciso que investiguem de onde acessaram|Não sei como conseguiram acessar"
"pix","0.025","0.950","0.025","Tô tentando fazer um pix de {valor} e o app dá {erro}|Não consigo fazer pix pelo app, sempre dá {erro}|O app não deixa eu fazer pix, aparece {erro}|Toda vez que tento pix o app trava e fecha|O pix não funciona desde {tempo}|Quando confirmo o pix o app congela","Preciso pagar uma conta de {valor} e não consigo|Já reinstalei o app e continua igual|Já tentei várias vezes em horários diferentes|Preciso fazer pagamento urgente|Já atualizei e limpei cache mas nada resolve"
"pix","0.950","0.025","0.025","Não consigo cadastrar minha chave pix|Minha chave pix sumiu do app|A portabilidade da chave pix tá travada há {tempo}|Quero cadastrar email como chave pix mas dá erro|Minha chave pix do celular parou depois que troquei de número|Preciso recadastrar minha chave pix do CPF","Diz que já tá em uso em outro banco|Preciso receber pagamentos e sem chave não consigo|O outro banco liberou a portabilidade e vocês não aceitam|As pessoas tentam me pagar e não vai|Preciso resolver pra receber meu salário"
"pix","0.025","0.025","0.950","Fiz pix de {valor} e o app cobrou duas vezes|O pix de {valor} foi debitado em duplicidade|Mandei pix de {valor} e saiu o dobro da conta|O pix duplicou, enviei {valor} uma vez e debitaram duas","Preciso do estorno da cobrança duplicada|Meu saldo ficou errado por causa disso|Agora faltou dinheiro pra pagar outras contas|O destinatário recebeu duas vezes e preciso recuperar"
"pix","0.950","0.050","0.000","Preciso do comprovante de pix que fiz {tempo}|Fiz pix {tempo} e preciso do comprovante|Preciso de segunda via do comprovante pix de {valor}|O comprovante do pix não aparece no histórico","Não consigo achar no app|Preciso mostrar pro fornecedor que paguei|O app não gera PDF do comprovante|Preciso pra comprovar pagamento"
"pix","0.025","0.950","0.025","Agendei pix de {valor} e não foi feito na data|Meu pix agendado de {valor} não foi executado|Tinha agendado pix pro aluguel e o banco não fez|O pix agendado foi cancelado sem minha autorização","A pessoa ficou sem receber e tô com conta atrasada|Agora tenho que pagar multa por atraso|Eu não cancelei nada, o sistema fez sozinho|A conta que ia pagar gerou juros de atraso"
"pix","0.950","0.025","0.025","Preciso aumentar meu limite de pix|Meu limite de pix noturno tá muito baixo|Não consigo fazer pix acima de {valor}|Meu limite de pix foi reduzido sem aviso","Tenho pagamento grande pra fazer|Pedi aumento de limite e não aprovaram|Antes era mais alto e diminuíram sem explicar|Preciso fazer transferência urgente de {valor}"
"pix","0.025","0.950","0.025","A devolução do pix de {valor} tá pendente há {tempo}|Solicitei devolução pelo MED e o prazo passou|Recebi devolução de {valor} mas veio menos|Fiz pix por engano e quero usar o mecanismo de devolução","Preciso do dinheiro de volta|O prazo do MED tá acabando e ninguém responde|Quero saber o status da solicitação|Já tentei contato com destinatário e não resolve"
