relato;area;urgencia
Fui enganado e paguei boleto falso de R$21.888,87. O boleto parecia legítimo.;seguranca;alta
E aí. Quanto de imposto pago se resgatar agora?. Apliquei R$ 85 há poucos meses. É mais pra controle mesmo. Agradeço a atenção.;investimento;baixa
Boa tarde. Posso usar FGTS como garantia de empréstimo. Qual a taxa. Só pra eu saber.;emprestimo;baixa
Boa tarde. Cobranças agressivas de dívida que não é minha. Isso é assédio e quero que pare.;emprestimo;media
Meu email antigo não existe mais. O antigo foi hackeado.;cadastro;media
Tributação do meu debêntures não bate com a tabela. Descontaram demais.;investimento;media
Não recebi dividendos do fundo multimercado. Cobraram imposto demais.;investimento;media
Opa. Ligaram e contrataram sem meu consentimento. Quero cancelamento e apuração.;emprestimo;alta
Já quitei e continuam cobrando. Nunca autorizei, quero cancelamento. Cada dia que passa perco dinheiro.;emprestimo;alta
Opa. Minha conta foi invadida e mudaram minha senha. Podem estar movimentando meu dinheiro. Posso aguardar. Conto com vocês.;seguranca;baixa
Olá. Minha renda mudou e quero atualizar. Mudei de emprego. Espero uma solução.;cadastro;baixa
Como solicito segundo cartão. Tem taxa.;cartao;baixa
Meu cartão recusa todas as compras desde desde o mês passado. Passei vergonha na fila. Meu nome tá sujo por erro do banco.;cartao;alta
Quero saber data de vencimento do título. Afeta meu planejamento financeiro.;investimento;media
Atendente derrubou ligação na transferência. Ninguém assume responsabilidade. Quero resolver antes que vire um problema maior.;atendimento;media
Hackearam minha conta bancária. Já tentei redefinir e não consigo.;seguranca;alta
Imposto sobre dividendos veio maior. Deviam cair faz duas semanas. Preciso resolver antes do vencimento.;investimento;media
Acho que vazaram meus dados. Recebi contatos de empresas que nunca dei número.;atendimento;alta
Supervisor disse que resolveria em 24h. Já faz ontem à noite e ninguém entrou em contato. Preciso resolver antes do vencimento.;atendimento;media
Boa noite. Sistema do banco tá instável. Muita gente reclamando.;atendimento;media
Mudei de cidade e quero atualizar cadastro. Preciso mandar comprovante. Podem me ajudar?;cadastro;baixa
Alô. Qual agência atende no sábado. Qual o horário. É mais pra controle mesmo.;atendimento;baixa
App pede token mas não chega SMS. Preciso do token pra transferência.;seguranca;media
App dá erro quando tento mudar cadastro. Trava na hora de confirmar. O problema pode ser no cadastro.;cadastro;media
Rendimento do fundo imobiliário não bate com taxa informada. Prometeram acima da poupança quando apliquei. Preciso de uma posição.;investimento;media
Olá. Como mudo o dia de fechamento. Quando a mudança vale. Só pra eu saber.;cartao;baixa
Parcela era R$ 2.225,12 mas com taxas fica R$ 13,14. Quero detalhamento d todas cobranças.;emprestimo;media
Olá, bom dia. Fico 40 min na espera e cai a ligação. Preciso resolver problema urgente sem canal. Espero que resolvam.;atendimento;alta
Tem compras estranhas na minha fatura. Total de R$ 1029 em lojas que nunca usei. Preciso contestar.;cartao;media
Me enganaram e fiz pix de R$ 1.809,69 pra golpista. Tem como rastrear. Tô tendo prejuízo financeiro real.;pix;alta
Como trocar minha senha do app. Posso fazer pelo app.;seguranca;baixa
Sistema do banco tá instável. Quando volta ao normal.;atendimento;media
Pessoal. Atendente prometeu retorno por email. Prazo venceu e nem atualização recebi. Quero evitar que piore. Aguardo retorno.;atendimento;media
Me enganaram e fiz pix de 113 reais pra golpista. Preciso recuperar o dinheiro. Tá pendente há dias.;pix;media
Tô esperando retorno há mais de 5 dias. Vou reclamar no Reclame Aqui. O problema é com meu cartão.;atendimento;media
Apliquei R$ 882,64 e dinheiro saiu da conta mas não aparece. Parece erro mas ninguém confirma.;investimento;alta
Quitei há faz 2 dias e nome ainda sujo. Preciso limpar nome pra financiamento. Agradeço a atenção.;emprestimo;alta
Não recebi dividendos do LCI. Antes caíam certinho todo mês.;investimento;media
Preciso recadastrar minha chave pix do CPF. As pessoas tentam me pagar e não vai.;pix;baixa
Meu limite de pix foi reduzido sem aviso. Antes era mais alto e diminuíram sem explicar. Desde já agradeço.;pix;baixa
Eae. Estão usando meus dados pra abrir contas em outros bancos. Preciso proteger meu CPF. Cada dia q passa perco dinheiro.;seguranca;alta
Quero cadastrar email pra receber notificações. Quero receber fatura por email. Só pra eu saber. Espero uma solução.;cadastro;baixa
Vi transferência de 947 reais que não fiz. Parece que alguém movimentou minha conta. Tô tendo prejuízo financeiro real.;conta;alta
Meu cadastro tá incompleto e não consigo usar serviços. Não sei qual dado falta.;cadastro;media
Pix agendado de R$ 17847 foi cancelado pelo banco. O destinatário tá cobrando.;pix;media
Oi. Quero exercer meus direitos LGPD. É meu direito.;cadastro;baixa
Condições do empréstimo mudaram depois que assinei. Tenho print da simulação.;emprestimo;media
Quanto d imposto pago se resgatar agora?. IR consumiu boa parte do rendimento.;investimento;baixa
Tem como ajustar limite pix por horário. Preciso de limite maior à noite. Já faz um tempo e não resolveram.;pix;media
Valor de quitação tá muito alto. Qual o saldo devedor atualizado.;emprestimo;baixa
Cartão virtual recusado na Starbucks. Tentei em várias lojas e nenhuma aceita. Só pra eu saber.;cartao;baixa
Apareceu empréstimo no meu nome que não contratei. Quero estorno imediato. Meu cartão tá sendo usado por terceiros agora.;emprestimo;alta
Oi. Quero juntar duas dívidas em uma. Aceito prazo maior se parcela diminuir.;emprestimo;media
Preciso ir presencialmente, qual endereço. É pra resolver pendência. Sem pressa.;atendimento;baixa
A parcela de R$ 109,76 não cabe mais no orçamento. Preciso renegociar pra caber no orçamento. Grato.;emprestimo;media
Depois da atualização o app não funciona. Já desinstalei e instalei de novo. Obrigado desde já.;conta;media
Oi, boa noite. Estão usando meus dados pra abrir contas em outros bancos. Preciso de boletim de ocorrência. Podem me ajudar?;seguranca;alta
Oi. Preciso info sobre empréstimo com garantia. Sou servidor, fazem consignado. Queria só uma informação. Espero que resolvam.;emprestimo;baixa
Olá, bom dia. Preciso atualizar endereço no cadastro. Não consigo mudar pelo app.;conta;baixa
Preciso informar nova renda. Mudei d emprego.;cadastro;baixa
Opa, tudo bem. Como adicionar titular na conta. Qual o processo. Não tem pressa nenhuma. Valeu pela ajuda.;conta;baixa
Fiz upload dos documentos mas nada mudou. Tá travando outras operações. Valeu.;cadastro;media
Bom dia. Selfie pra verificação não é aceita. Preciso validar pra usar a conta. Espero uma solução.;cadastro;media
Documentos enviados e cadastro não atualizou. O prazo já passou.;cadastro;media
Vi meu email numa lista de dados vazados. Tem risco de fraude. Gostaria de um retorno essa semana.;seguranca;media
Esperei mais d uma hora no telefone. nao tem outra opção.;atendimento;media
E aí pessoal. Meu limite zerou sem compra pendente. Meu score não mudou.;cartao;media
App dá erro quando tento mudar cadastro. Trava na hora de confirmar. Grato pela atenção.;cadastro;media
Preciso comprovante de saldo atualizado. O app não gera esse documento. Pode ser no prazo normal. Valeu pela ajuda.;conta;baixa
Atendente passou informação errada. Por causa disso perdi prazo de contestar R$ 16891.;atendimento;alta
Opa. Meu COE tá com rentabilidade negativa. Quero trocar d produto.;investimento;media
Não consigo atualizar meus dados pelo app. Trava na hora de confirmar.;cadastro;media
Pessoal. Atendente disse que estorno cairia em 7 dias e não caiu. Agora dizem que nunca falaram isso.;atendimento;alta
Alguém resgatou meu ações de R$ 27996 sem autorização. Quero investigação e estorno. Meu nome tá sujo por erro do banco.;investimento;alta
Mandei pix de R$25,70 e saiu o dobro da conta. Agora faltou dinheiro pra pagar outras contas.;pix;alta
Opa, tudo bem. Rendimento do fundo de renda fixa tá muito abaixo do prometido. Quero trocar de produto. Obrigada.;investimento;media
A parcela d R$ 87,30 não cabe mais no orcamento. Preciso renegociar pra caber no orcamento.;emprestimo;media
Portabilidade travada há ontem. Tão dificultando a portabilidade. Quero resolver antes que vire um problema maior.;investimento;media
Bom dia. Cancelei compra de R$ 19,78 e o limite não voltou. Preciso do limite pra compra importante. Seria bom resolver essa semana.;cartao;media
O app é seguro pra fazer transações de R$6.593,21. Quero ficar tranquilo. Não é nada urgente. Agradeço a atenção.;seguranca;baixa
Alguém tá usando meu cartão neste momento. Como bloqueio de emergência.;cartao;media
Esqueci minha senha e quero redefinir. Preciso ir na agência. Queria só uma informação.;seguranca;baixa
